year,set,pc,feature,loading,explained
2012,no_option9,1,n_sd,-0.2943595081634078,0.3844554866114826
2012,no_option9,1,ews_var,0.0179094172117254,0.3844554866114826
2012,no_option9,1,ews_ar1,0.1398791432865033,0.3844554866114826
2012,no_option9,2,log_rv20,0.0096861852680654,0.2234013079703802
2012,no_option9,2,log_rv5,0.0663239976229784,0.2234013079703802
2012,no_option9,2,log_act_rel,0.467584067413605,0.2234013079703802
2012,no_option9,2,dd20,-0.2418111694897315,0.2234013079703802
2012,no_option9,2,ret20,-0.319539036882478,0.2234013079703802
2012,no_option9,2,one_minus_n,0.4998244923819575,0.2234013079703802
2012,no_option9,2,n_sd,0.549418736932043,0.2234013079703802
2012,no_option9,2,ews_var,0.2403955861865189,0.2234013079703802
2012,no_option9,2,ews_ar1,-0.0825778283717392,0.2234013079703802
2012,common7,1,log_rv20,-0.4661231452019536,0.4458437512604347
2012,common7,1,log_rv5,-0.4790020296651923,0.4458437512604347
2012,common7,1,log_act_rel,-0.2906010013538548,0.4458437512604347
2012,common7,1,dd20,0.5084229892385121,0.4458437512604347
2012,common7,1,ret20,0.4353864297085812,0.4458437512604347
2012,common7,1,ews_var,-0.0776155251143522,0.4458437512604347
2012,common7,1,ews_ar1,-0.1214820077065476,0.4458437512604347
2012,common7,2,log_rv20,0.0636900865551358,0.1633554356357927
2012,common7,2,log_rv5,0.0405223916163286,0.1633554356357927
2012,common7,2,log_act_rel,-0.1750838297137261,0.1633554356357927
2012,common7,2,dd20,0.1041005435659912,0.1633554356357927
2012,common7,2,ret20,0.1879828376313948,0.1633554356357927
2012,common7,2,ews_var,0.6297832116859979,0.1633554356357927
2012,common7,2,ews_ar1,0.7216964715784954,0.1633554356357927
2013,full11,1,log_rv20,0.4347604032510539,0.3907579143188526
2013,full11,1,log_rv5,0.4160865297131456,0.3907579143188526
2013,full11,1,log_act_rel,0.1564292039987607,0.3907579143188526
2013,full11,1,dd20,-0.3858908779106214,0.3907579143188526
2013,full11,1,ret20,-0.2923521174383197,0.3907579143188526
2013,full11,1,one_minus_n,-0.2975926115536871,0.3907579143188526
2013,full11,1,n_sd,-0.2589753140571726,0.3907579143188526
2013,full11,1,ews_var,-0.0045121214115475,0.3907579143188526
2013,full11,1,ews_ar1,0.1071920847821626,0.3907579143188526
2013,full11,1,log_vix,0.4374485419579902,0.3907579143188526
2013,full11,1,vrp,-0.1431868031075552,0.3907579143188526
2013,full11,2,log_rv20,0.0233645615721944,0.1841973548556544
2013,full11,2,log_rv5,0.0738900789433948,0.1841973548556544
2013,full11,2,log_act_rel,0.4624116153328782,0.1841973548556544
2013,full11,2,dd20,-0.2332073663331233,0.1841973548556544
2013,full11,2,ret20,-0.3159661235762978,0.1841973548556544
2013,full11,2,one_minus_n,0.4760109752217467,0.1841973548556544
2013,full11,2,n_sd,0.5361125340730607,0.1841973548556544
2013,full11,2,ews_var,0.2232962929625315,0.1841973548556544
2013,full11,2,ews_ar1,-0.0988324399884967,0.1841973548556544
2013,full11,2,log_vix,-0.07835016077955,0.1841973548556544
2013,full11,2,vrp,-0.2148921903671321,0.1841973548556544
2013,no_option9,1,log_rv20,0.4615951727131123,0.3821919822986873
2013,no_option9,1,log_rv5,0.456832725090712,0.3821919822986873
2013,no_option9,1,log_act_rel,0.1888601536796199,0.3821919822986873
2013,no_option9,1,dd20,-0.4484845425251101,0.3821919822986873
2013,no_option9,1,ret20,-0.3569215587734296,0.3821919822986873
2013,no_option9,1,one_minus_n,-0.3378966543653865,0.3821919822986873
2013,no_option9,1,n_sd,-0.2926711144073623,0.3821919822986873
2013,no_option9,1,ews_var,-0.0057625754549764,0.3821919822986873
2013,no_option9,1,ews_ar1,0.1190398195958018,0.3821919822986873
2013,no_option9,2,log_rv20,0.0032006358715194,0.2185146895949168
2013,no_option9,2,log_rv5,0.0679046393632917,0.2185146895949168
2013,no_option9,2,log_act_rel,0.4364038201398741,0.2185146895949168
2013,no_option9,2,dd20,-0.2509146312653527,0.2185146895949168
2013,no_option9,2,ret20,-0.3344504796817526,0.2185146895949168
2013,no_option9,2,one_minus_n,0.5007988125608026,0.2185146895949168
2013,no_option9,2,n_sd,0.5558355725197431,0.2185146895949168
2013,no_option9,2,ews_var,0.2396125694005422,0.2185146895949168
2013,no_option9,2,ews_ar1,-0.1137907217329681,0.2185146895949168
2013,common7,1,log_rv20,-0.4652527036703052,0.4423349374064382
2013,common7,1,log_rv5,-0.4784718472606758,0.4423349374064382
2013,common7,1,log_act_rel,-0.2995318996238852,0.4423349374064382
2013,common7,1,dd20,0.5104376110037188,0.4423349374064382
2013,common7,1,ret20,0.438836780342646,0.4423349374064382
2013,common7,1,ews_var,-0.0520027874806903,0.4423349374064382
2013,common7,1,ews_ar1,-0.095166642263396,0.4423349374064382
2013,common7,2,log_rv20,0.051401274586174,0.1627545990303466
2013,common7,2,log_rv5,0.040672999203723,0.1627545990303466
2013,common7,2,log_act_rel,-0.2183539339213054,0.1627545990303466
2013,common7,2,dd20,0.0517682979147943,0.1627545990303466
2013,common7,2,ret20,0.1222949815586329,0.1627545990303466
2013,common7,2,ews_var,0.6349361379123848,0.1627545990303466
2013,common7,2,ews_ar1,0.7261165589884756,0.1627545990303466
2014,full11,1,log_rv20,0.4304593982876082,0.3953972723935596
2014,full11,1,log_rv5,0.4107834427735675,0.3953972723935596
2014,full11,1,log_act_rel,0.1667702906380392,0.3953972723935596
2014,full11,1,dd20,-0.3834132346295449,0.3953972723935596
2014,full11,1,ret20,-0.2927888176351045,0.3953972723935596
2014,full11,1,one_minus_n,-0.3087214216303255,0.3953972723935596
2014,full11,1,n_sd,-0.2703685360684171,0.3953972723935596
2014,full11,1,ews_var,-0.0331173950939803,0.3953972723935596
2014,full11,1,ews_ar1,0.090224120708215,0.3953972723935596
2014,full11,1,log_vix,0.4358925032221927,0.3953972723935596
2014,full11,1,vrp,-0.1333073511037468,0.3953972723935596
2014,full11,2,log_rv20,0.0241146110172231,0.1766748116482801
2014,full11,2,log_rv5,0.0764842274674317,0.1766748116482801
2014,full11,2,log_act_rel,0.4551988113498915,0.1766748116482801
2014,full11,2,dd20,-0.241565845616101,0.1766748116482801
2014,full11,2,ret20,-0.3258722284303196,0.1766748116482801
2014,full11,2,one_minus_n,0.4629059966832861,0.1766748116482801
2014,full11,2,n_sd,0.5324132761261396,0.1766748116482801
2014,full11,2,ews_var,0.235533944866959,0.1766748116482801
2014,full11,2,ews_ar1,-0.0810607961744535,0.1766748116482801
2014,full11,2,log_vix,-0.0807095634486537,0.1766748116482801
2014,full11,2,vrp,-0.2356033525773013,0.1766748116482801
2014,no_option9,1,log_rv20,0.4575127633944121,0.3883134079520203
2014,no_option9,1,log_rv5,0.4509001071053869,0.3883134079520203
2014,no_option9,1,log_act_rel,0.2003404145364049,0.3883134079520203
2014,no_option9,1,dd20,-0.4424793833591984,0.3883134079520203
2014,no_option9,1,ret20,-0.3539864703639616,0.3883134079520203
2014,no_option9,1,one_minus_n,-0.3496931147485825,0.3883134079520203
2014,no_option9,1,n_sd,-0.304721576013524,0.3883134079520203
2014,no_option9,1,ews_var,-0.0391855553892179,0.3883134079520203
2014,no_option9,1,ews_ar1,0.0972853329457999,0.3883134079520203
2014,no_option9,2,log_rv20,0.0002601953577821,0.208746122461352
2014,no_option9,2,log_rv5,0.0709643259695251,0.208746122461352
2014,no_option9,2,log_act_rel,0.4258214535604657,0.208746122461352
2014,no_option9,2,dd20,-0.2652422564154083,0.208746122461352
2014,no_option9,2,ret20,-0.3514744880754166,0.208746122461352
2014,no_option9,2,one_minus_n,0.4889214307803787,0.208746122461352
2014,no_option9,2,n_sd,0.5538254005822706,0.208746122461352
2014,no_option9,2,ews_var,0.253754852412386,0.208746122461352
2014,no_option9,2,ews_ar1,-0.0979492273590179,0.208746122461352
2014,common7,1,log_rv20,-0.4652930140349939,0.4420344165855173
2014,common7,1,log_rv5,-0.477485001783947,0.4420344165855173
2014,common7,1,log_act_rel,-0.3066180129843844,0.4420344165855173
2014,common7,1,dd20,0.5103303819565109,0.4420344165855173
2014,common7,1,ret20,0.4408196403106805,0.4420344165855173
2014,common7,1,ews_var,-0.0161225644048057,0.4420344165855173
2014,common7,1,ews_ar1,-0.0804791100883923,0.4420344165855173
2014,common7,2,log_rv20,0.0327948667808183,0.1589803646594812
2014,common7,2,log_rv5,0.0339700651879992,0.1589803646594812
2014,common7,2,log_act_rel,-0.2156463731341407,0.1589803646594812
2014,common7,2,dd20,0.0095646615914075,0.1589803646594812
2014,common7,2,ret20,0.0660704838944624,0.1589803646594812
2014,common7,2,ews_var,0.6518835261367761,0.1589803646594812
2014,common7,2,ews_ar1,0.7223975705220218,0.1589803646594812
2015,full11,1,log_rv20,0.4324068741575803,0.3917611774855682
2015,full11,1,log_rv5,0.414206868291093,0.3917611774855682
2015,full11,1,log_act_rel,0.1790877490013669,0.3917611774855682
2015,full11,1,dd20,-0.3879898907086447,0.3917611774855682
2015,full11,1,ret20,-0.297236350590907,0.3917611774855682
2015,full11,1,one_minus_n,-0.2911016113135471,0.3917611774855682
2015,full11,1,n_sd,-0.2720331226734648,0.3917611774855682
2015,full11,1,ews_var,-0.0329797903437772,0.3917611774855682
2015,full11,1,ews_ar1,0.0538486043348001,0.3917611774855682
2015,full11,1,log_vix,0.4376152515155379,0.3917611774855682
2015,full11,1,vrp,-0.1275238218330998,0.3917611774855682
2015,full11,2,log_rv20,0.0110912483867591,0.1722030654973949
2015,full11,2,log_rv5,0.0612962672609922,0.1722030654973949
2015,full11,2,log_act_rel,0.4403548773695934,0.1722030654973949
2015,full11,2,dd20,-0.2332961262209406,0.1722030654973949
2015,full11,2,ret20,-0.3234450333252937,0.1722030654973949
2015,full11,2,one_minus_n,0.4645452630576167,0.1722030654973949
2015,full11,2,n_sd,0.5277306783534572,0.1722030654973949
2015,full11,2,ews_var,0.2857639320620341,0.1722030654973949
2015,full11,2,ews_ar1,0.0116693528996307,0.1722030654973949
2015,full11,2,log_vix,-0.0893772219177408,0.1722030654973949
2015,full11,2,vrp,-0.2430557650958935,0.1722030654973949
2015,no_option9,1,log_rv20,0.4602103074944256,0.3848104418272663
2015,no_option9,1,log_rv5,0.4559713632971044,0.3848104418272663
2015,no_option9,1,log_act_rel,0.2167878630884961,0.3848104418272663
2015,no_option9,1,dd20,-0.4476775079958068,0.3848104418272663
2015,no_option9,1,ret20,-0.3602487840127282,0.3848104418272663
2015,no_option9,1,one_minus_n,-0.3292083866197222,0.3848104418272663
2015,no_option9,1,n_sd,-0.3010918762234494,0.3848104418272663
2015,no_option9,1,ews_var,-0.039387049373617,0.3848104418272663
2015,no_option9,1,ews_ar1,0.0501941649151315,0.3848104418272663
2015,no_option9,2,log_rv20,-0.0189485073009689,0.2030112156589628
2015,no_option9,2,log_rv5,0.0516750698135323,0.2030112156589628
2015,no_option9,2,log_act_rel,0.4041981267878475,0.2030112156589628
2015,no_option9,2,dd20,-0.2544934949897373,0.2030112156589628
2015,no_option9,2,ret20,-0.347142768212335,0.2030112156589628
2015,no_option9,2,one_minus_n,0.4955061599953304,0.2030112156589628
2015,no_option9,2,n_sd,0.5518359736688352,0.2030112156589628
2015,no_option9,2,ews_var,0.3134627909089996,0.2030112156589628
2015,no_option9,2,ews_ar1,0.0033551907552206,0.2030112156589628
2015,common7,1,log_rv20,-0.4639537185650242,0.441363993760144
2015,common7,1,log_rv5,-0.4773255622683102,0.441363993760144
2015,common7,1,log_act_rel,-0.3129739585917045,0.441363993760144
2015,common7,1,dd20,0.5099912602227697,0.441363993760144
2015,common7,1,ret20,0.4422349790952815,0.441363993760144
2015,common7,1,ews_var,-0.0207703083248344,0.441363993760144
2015,common7,1,ews_ar1,-0.0534816597670984,0.441363993760144
2015,common7,2,log_rv20,-0.0205376819749655,0.1590112836818484
2015,common7,2,log_rv5,-0.0104280328572851,0.1590112836818484
2015,common7,2,log_act_rel,-0.1343659378596987,0.1590112836818484
2015,common7,2,dd20,-0.0165647998380398,0.1590112836818484
2015,common7,2,ret20,0.0091047084433156,0.1590112836818484
2015,common7,2,ews_var,0.6962655507574911,0.1590112836818484
2015,common7,2,ews_ar1,0.7044659317609062,0.1590112836818484
2016,full11,1,log_rv20,0.4351291192238836,0.3833926371194008
2016,full11,1,log_rv5,0.4172196448761545,0.3833926371194008
2016,full11,1,log_act_rel,0.1856966120738539,0.3833926371194008
2016,full11,1,dd20,-0.3962453705949216,0.3833926371194008
2016,full11,1,ret20,-0.3030761538601186,0.3833926371194008
2016,full11,1,one_minus_n,-0.2660514591053844,0.3833926371194008
2016,full11,1,n_sd,-0.2598637432601102,0.3833926371194008
2016,full11,1,ews_var,-0.0254728847856561,0.3833926371194008
2016,full11,1,ews_ar1,0.0487627165064715,0.3833926371194008
2016,full11,1,log_vix,0.4422684859788556,0.3833926371194008
2016,full11,1,vrp,-0.127675404902129,0.3833926371194008
2016,full11,2,log_rv20,0.019550810997184,0.176468647410255
2016,full11,2,log_rv5,0.0601812344269277,0.176468647410255
2016,full11,2,log_act_rel,0.4134704416837234,0.176468647410255
2016,full11,2,dd20,-0.2097928639652105,0.176468647410255
2016,full11,2,ret20,-0.3039217448304925,0.176468647410255
2016,full11,2,one_minus_n,0.4907996207240153,0.176468647410255
2016,full11,2,n_sd,0.5387604373920246,0.176468647410255
2016,full11,2,ews_var,0.3000350269080022,0.176468647410255
2016,full11,2,ews_ar1,0.0658262211968938,0.176468647410255
2016,full11,2,log_vix,-0.0915764536024735,0.176468647410255
2016,full11,2,vrp,-0.2340283608661519,0.176468647410255
2016,no_option9,1,log_rv20,0.4633226498373206,0.3748699369957713
2016,no_option9,1,log_rv5,0.4609001102816215,0.3748699369957713
2016,no_option9,1,log_act_rel,0.2277753812919235,0.3748699369957713
2016,no_option9,1,dd20,-0.4597104179688203,0.3748699369957713
2016,no_option9,1,ret20,-0.3702908816724404,0.3748699369957713
2016,no_option9,1,one_minus_n,-0.2987733419579762,0.3748699369957713
2016,no_option9,1,n_sd,-0.2837888948476716,0.3748699369957713
2016,no_option9,1,ews_var,-0.030213602418987,0.3748699369957713
2016,no_option9,1,ews_ar1,0.0431053622404344,0.3748699369957713
2016,no_option9,2,log_rv20,-0.0116891404149036,0.2082720396197588
2016,no_option9,2,log_rv5,0.0483420144108285,0.2082720396197588
2016,no_option9,2,log_act_rel,0.3750320270571826,0.2082720396197588
2016,no_option9,2,dd20,-0.2240212545866082,0.2082720396197588
2016,no_option9,2,ret20,-0.3204252181786357,0.2082720396197588
2016,no_option9,2,one_minus_n,0.5236325081109086,0.2082720396197588
2016,no_option9,2,n_sd,0.5647162146199572,0.2082720396197588
2016,no_option9,2,ews_var,0.3272371524009362,0.2082720396197588
2016,no_option9,2,ews_ar1,0.0619676435922207,0.2082720396197588
2016,common7,1,log_rv20,-0.4643719082142208,0.4405080934857747
2016,common7,1,log_rv5,-0.476653551970489,0.4405080934857747
2016,common7,1,log_act_rel,-0.3124401946623991,0.4405080934857747
2016,common7,1,dd20,0.5097940377536623,0.4405080934857747
2016,common7,1,ret20,0.4422541243101704,0.4405080934857747
2016,common7,1,ews_var,-0.031150049244261,0.4405080934857747
2016,common7,1,ews_ar1,-0.0556080034551037,0.4405080934857747
2016,common7,2,log_rv20,0.0012214653339415,0.1602260307859879
2016,common7,2,log_rv5,-0.0070973153913867,0.1602260307859879
2016,common7,2,log_act_rel,-0.0908647443219333,0.1602260307859879
2016,common7,2,dd20,0.0158658022224283,0.1602260307859879
2016,common7,2,ret20,0.0498250345778188,0.1602260307859879
2016,common7,2,ews_var,0.6894427113835904,0.1602260307859879
2016,common7,2,ews_ar1,0.7166772107058971,0.1602260307859879
2017,full11,1,log_rv20,0.4344788547771631,0.3816066570589651
2017,full11,1,log_rv5,0.4172130462607272,0.3816066570589651
2017,full11,1,log_act_rel,0.1955504202829306,0.3816066570589651
2017,full11,1,dd20,-0.3963915099144525,0.3816066570589651
2017,full11,1,ret20,-0.3027514317405914,0.3816066570589651
2017,full11,1,one_minus_n,-0.2677159559013076,0.3816066570589651
2017,full11,1,n_sd,-0.2479890987800691,0.3816066570589651
2017,full11,1,ews_var,-0.0644487591316519,0.3816066570589651
2017,full11,1,ews_ar1,0.0408323833997014,0.3816066570589651
2017,full11,1,log_vix,0.4425253873218715,0.3816066570589651
2017,full11,1,vrp,-0.1237606669556867,0.3816066570589651
2017,full11,2,log_rv20,0.0222833030503482,0.1706426473251799
2017,full11,2,log_rv5,0.0606424333174111,0.1706426473251799
2017,full11,2,log_act_rel,0.4154917936694023,0.1706426473251799
2017,full11,2,dd20,-0.2144215464264681,0.1706426473251799
2017,full11,2,ret20,-0.3137076452903489,0.1706426473251799
