set,horizon,A,B,scheme,block,point,lo95,lo90,hi90,hi95,p_sign,n
common7,20,pc2_gbt,ou_seqcal,episode_segments,,0.09806665919876094,-0.01000102419896332,0.0055531142533277915,0.17206130413572693,0.1882360700884278,0.084,2906
common7,20,raw_logistic,ou_seqcal,mbb,5.0,0.0929876065933717,0.03865058605116433,0.047364770853476804,0.1384915173340522,0.15083861198066156,0.0,2906
common7,20,raw_logistic,ou_seqcal,mbb,10.0,0.0929876065933717,0.03256166495906045,0.03949037844601074,0.14622738041030509,0.15915793224576144,0.0,2906
common7,20,raw_logistic,ou_seqcal,mbb,20.0,0.0929876065933717,0.035129709038080915,0.04152070190956113,0.15307041826168,0.16885659896330416,0.004,2906
common7,20,raw_logistic,ou_seqcal,mbb,40.0,0.0929876065933717,0.023383362888772578,0.03347588108531531,0.15187482002550923,0.1667518332008912,0.012,2906
common7,20,raw_logistic,ou_seqcal,mbb,60.0,0.0929876065933717,0.01774409845115658,0.0287199386117295,0.1534579249061678,0.16228429640969472,0.016,2906
common7,20,raw_logistic,ou_seqcal,stationary,10.0,0.0929876065933717,0.03532076313254519,0.040124476208677914,0.1467451605352974,0.16153772898051383,0.0,2906
common7,20,raw_logistic,ou_seqcal,stationary,20.0,0.0929876065933717,0.029656319447361766,0.039858050545279126,0.1444062986944781,0.15389403699627097,0.004,2906
common7,20,raw_logistic,ou_seqcal,stationary,40.0,0.0929876065933717,0.02868485260757674,0.035599172124091125,0.15281688854641629,0.16424148905320815,0.0,2906
common7,20,raw_logistic,ou_seqcal,episode_segments,,0.0929876065933717,0.021111037622924364,0.037312869427758945,0.16326813198399973,0.17449345316830464,0.016,2906
full11,5,pc2_logistic,ou_seqcal,mbb,5.0,-0.015676947302142582,-0.0800871571552083,-0.07116766163410553,0.057746911662557895,0.07142419230894204,0.812,2910
full11,5,pc2_logistic,ou_seqcal,mbb,10.0,-0.015676947302142582,-0.09423070933544844,-0.0832187883708083,0.060178853434273205,0.07354878211858966,0.872,2910
full11,5,pc2_logistic,ou_seqcal,mbb,20.0,-0.015676947302142582,-0.08398663571211584,-0.0742493980841588,0.0865858955231118,0.09499259892949322,0.88,2910
full11,5,pc2_logistic,ou_seqcal,mbb,40.0,-0.015676947302142582,-0.09440063168467773,-0.07555269217665846,0.0765115735623402,0.09824864761079688,0.88,2910
full11,5,pc2_logistic,ou_seqcal,mbb,60.0,-0.015676947302142582,-0.07176479632646006,-0.06177190742035539,0.0861487041351407,0.11229365519953735,0.96,2910
full11,5,pc2_logistic,ou_seqcal,stationary,10.0,-0.015676947302142582,-0.09361569713659995,-0.08364956491696761,0.04652214365402444,0.05960287730108783,0.668,2910
full11,5,pc2_logistic,ou_seqcal,stationary,20.0,-0.015676947302142582,-0.0937596981951912,-0.0789525806759965,0.057672583767192066,0.07022173956017892,0.736,2910
full11,5,pc2_logistic,ou_seqcal,stationary,40.0,-0.015676947302142582,-0.09145992851455538,-0.0789381803668232,0.052898152170354124,0.07009096455727247,0.712,2910
full11,5,pc2_logistic,ou_seqcal,episode_segments,,-0.015676947302142582,-0.0938884093626948,-0.0819003641871695,0.06239915273100562,0.08217940049440929,0.768,2910
full11,5,pc2_gbt,ou_seqcal,mbb,5.0,0.051560024029712534,-0.0078015935664675065,-0.0007077316515241931,0.11023583155275891,0.12743271347198415,0.112,2910
full11,5,pc2_gbt,ou_seqcal,mbb,10.0,0.051560024029712534,-0.025190483020380242,-0.01283961337054795,0.1156616673545328,0.1284341204968965,0.18,2910
