date,close,high,low,volume,activity,vix,ann,r,rv20,rv5,log_rv20,log_rv5,log_rv20_pk,log_act,log_act_rel,dd20,ret20,ews_var,ews_ar1,log_vix,vrp,n_t,n_sd,one_minus_n,n_lo,n_hi,hawkes_beta,is_event_day
2009-06-04,942.460022,942.469971,929.320007,5352890000,5352890000.0,30.18,252.0,0.011418219919638872,0.27133382126294714,0.24150489478729129,-1.3044054033829333,-1.420865537824551,-1.5521752171987975,22.57062138446282,0.051209015536066715,-0.0024133285603799015,0.024630799969010297,0.001964884549441139,0.9799796027778584,3.407179453339703,0.017461197438847068,0.8213609530895687,0.07603232053104116,0.1786390469104313,0.6781220412319475,0.9225493604305351,0.03685171025242783,0
2009-06-05,940.090027,951.690002,934.130005,5277910000,5277910000.0,29.62,252.0,-0.0025178573640873836,0.26735060246883074,0.22244379672976453,-1.319194364106372,-1.5030808082516853,-1.5837243766377846,22.539866525608474,0.019874646633688542,-0.004921950006583353,0.035403280880385246,0.0018844095544019502,0.9806858368460066,3.3884498088396526,0.01625809535955325,0.8213609530895687,0.07603232053104116,0.1786390469104313,0.6781220412319475,0.9225493604305351,0.03685171025242783,0
2009-06-08,939.140015,946.330017,926.440002,4483430000,4483430000.0,29.77,252.0,-0.001011065233842423,0.25369614306421456,0.1295608303231784,-1.3716180152350157,-2.043604775906874,-1.5879116891855607,22.50949696971019,-0.010394311714129856,-0.0059275303885464314,0.010608314159322951,0.0018604622429737262,0.9805203874395606,3.393501175027685,0.024263556994341587,0.8149943111489772,0.07672188949555199,0.18500568885102275,0.6709351803442665,0.9180164378458356,0.038149776975226625,0
2009-06-09,942.429993,946.919983,936.150024,4439950000,4439950000.0,28.27,252.0,0.0034970597308516815,0.2419850746811268,0.1311659894891174,-1.4188792295988006,-2.0312916625320314,-1.594115255930449,22.49505879545013,-0.024606874231455578,-0.0024451140255004056,0.03585256384624902,0.0018813268817781399,0.9805806900719436,3.341801171705499,0.021362513631569498,0.8149943111489772,0.07672188949555199,0.18500568885102275,0.6709351803442665,0.9180164378458356,0.038149776975226625,0
2009-06-10,939.150024,949.77002,927.969971,5379420000,5379420000.0,28.46,252.0,-0.003486402164882385,0.242276380946254,0.09039330943580837,-1.4176761344654614,-2.4035850249887676,-1.5889484778261127,22.48229074571337,-0.03780296105784231,-0.005916935939167756,0.03334549595123182,0.0018826208150656022,0.9810334080179728,3.3484995926617063,0.02229931523558562,0.8149943111489772,0.07672188949555199,0.18500568885102275,0.6709351803442665,0.9180164378458356,0.038149776975226625,0
2009-06-11,944.890015,956.22998,939.039978,5500840000,5500840000.0,28.11,252.0,0.006093298062499919,0.22315982554023497,0.05891755393834048,-1.4998670577749889,-2.831616203213149,-1.6061387569707322,22.468496695264538,-0.052538727257175566,0.0,0.0667019929045427,0.0019573219464137817,0.9808475824381493,3.3361253849184407,0.029216902264851893,0.8149943111489772,0.07672188949555199,0.18500568885102275,0.6709351803442665,0.9180164378458356,0.038149776975226625,0
2009-06-12,946.210022,946.299988,935.659973,4528120000,4528120000.0,28.15,252.0,0.0013960205050507213,0.22020112765305272,0.05700864185653577,-1.513213933666467,-2.8645524111212803,-1.6168970058529237,22.45437007972305,-0.06720936773300679,0.0,0.05779958188150225,0.0019466197267296323,0.9814357835518275,3.3375473545856993,0.03075371338032397,0.8149943111489772,0.07672188949555199,0.18500568885102275,0.6709351803442665,0.9180164378458356,0.038149776975226625,0
2009-06-15,923.719971,942.450012,919.650024,4697880000,4697880000.0,30.81,252.0,-0.024055590961104656,0.2326381062802758,0.17989859673383746,-1.458271224799602,-1.715361938312673,-1.6062054185533416,22.447779835664214,-0.07439281395576458,-0.023768561394501897,0.04521966732869309,0.0020185382646395467,0.9810460152786212,3.4278393126085764,0.04080512150632709,0.8121112494025504,0.07621399648191761,0.18788875059744958,0.6693829055161983,0.915097289854403,0.04022848659845155,1
2009-06-16,911.969971,928.0,911.599976,4951200000,4951200000.0,32.68,252.0,-0.01280190102374501,0.21188055441464237,0.20001782659817868,-1.5517325856647075,-1.609348783415316,-1.6288476065877358,22.441064130937857,-0.08135844782808377,-0.03618652329176031,0.002481171411090166,0.0021249956078903264,0.9820201552105257,3.486763269991802,0.06190487066094376,0.8121112494025504,0.07621399648191761,0.18788875059744958,0.6693829055161983,0.915097289854403,0.04022848659845155,0
2009-06-17,910.710022,918.440002,903.780029,5523650000,5523650000.0,31.54,252.0,-0.0013825237622890896,0.21184753328574613,0.19872305377262636,-1.5518884456604058,-1.6158431131418005,-1.622480932671123,22.43121162926981,-0.09168199368510344,-0.03751809764703595,0.002836993569689028,0.0019228440982288013,0.9820894530007992,3.451256581534892,0.0545977826407447,0.8121112494025504,0.07621399648191761,0.18788875059744958,0.6693829055161983,0.915097289854403,0.04022848659845155,0
2009-06-18,918.369995,921.929993,907.940002,4684010000,4684010000.0,30.03,252.0,0.008375814847253693,0.21314274269362157,0.2028678440556794,-1.5457931842341088,-1.5952005264463502,-1.647201072154779,22.398784143720427,-0.12368547798438811,-0.029422671872735617,0.016357480905438315,0.0019254069759092323,0.9820432925536557,3.402196881995239,0.04475026123704063,0.8121112494025504,0.07621399648191761,0.18788875059744958,0.6693829055161983,0.915097289854403,0.04022848659845155,0
2009-06-19,921.22998,927.090027,915.799988,5713390000,5713390000.0,27.99,252.0,0.003109357842015825,0.20482467854611527,0.20382446244730856,-1.5856008923629585,-1.590496133761264,-1.6721094286778162,22.395911479157938,-0.12756809543176928,-0.026400102957269245,0.036366397207522105,0.0019337998320759103,0.9819303287456193,3.331847303527362,0.036390861058480536,0.8121112494025504,0.07621399648191761,0.18788875059744958,0.6693829055161983,0.915097289854403,0.04022848659845155,0
2009-06-22,893.039978,918.130005,893.039978,4903940000,4903940000.0,31.17,252.0,-0.03107836385261198,0.2325827963509167,0.2471010946001842,-1.4585090040107547,-1.3979577362111268,-1.6374283321695073,22.393548864533564,-0.1300621784927003,-0.0561926451461745,0.00678636576194247,0.002260222300498066,0.9785258577563977,3.4394560937792455,0.04306213284158804,0.807717114882774,0.07679371952263188,0.19228288511722602,0.6641994823278109,0.912038394840585,0.04110962738292582,1
2009-06-23,895.099976,898.690002,888.859985,5071020000,5071020000.0,30.58,252.0,0.0023040689927249502,0.21370257568556947,0.230361720308135,-1.5431700639193306,-1.4681045084598683,-1.7028876960081256,22.387924620730033,-0.135848597311913,-0.05401554074852111,-0.01687177274679641,0.002346141225960397,0.9769050053712874,3.420346200500916,0.04784484914535343,0.807717114882774,0.07679371952263188,0.19228288511722602,0.6641994823278109,0.912038394840585,0.04110962738292582,0
2009-06-24,900.940002,910.849976,896.309998,4636720000,4636720000.0,29.05,252.0,0.006503247871799012,0.20391007061878885,0.23473755041350572,-1.5900762126322172,-1.4492871956823816,-1.7262460113410163,22.37782356701373,-0.14555665279788244,-0.04784352199558495,0.008784899306414573,0.0023611102914626665,0.9763077030664077,3.3690184832979204,0.04281093310024053,0.807717114882774,0.07679371952263188,0.19228288511722602,0.6641994823278109,0.912038394840585,0.04110962738292582,0
2009-06-25,920.26001,921.419983,896.27002,4911240000,4911240000.0,26.36,252.0,0.021217584742871054,0.21047955134863355,0.2724982782029848,-1.558366773815306,-1.300122983419957,-1.7138821297291256,22.369879873786005,-0.15264249240567196,-0.02742521363824657,0.014701229476069777,0.002390895306877551,0.9754414709747439,3.2718477096343066,0.025183318464077932,0.807717114882774,0.07679371952263188,0.19228288511722602,0.6641994823278109,0.912038394840585,0.04110962738292582,1
2009-06-26,918.900024,922.0,913.030029,6076660000,6076660000.0,25.93,252.0,-0.0014789210538932451,0.20503287161490685,0.2718055818573379,-1.5845849633573013,-1.3026682408411703,-1.730271441842494,22.370132665916884,-0.15308048154437515,-0.02886251187899591,-0.0002611379472394759,0.0023930943093282433,0.9747307141307033,3.255400599550573,0.025198011557345107,0.807717114882774,0.07679371952263188,0.19228288511722602,0.6641994823278109,0.912038394840585,0.04110962738292582,0
2009-06-29,927.22998,927.98999,916.179993,4211760000,4211760000.0,25.35,252.0,0.009024296786330765,0.18675627838975398,0.17118167325540737,-1.6779508363120803,-1.7650298697464002,-1.769567012487141,22.34911966785488,-0.17301209420748975,-0.02005901603100968,-0.016726784515553206,0.00249363163898856,0.9731976704898737,3.232778730037192,0.02938434248200872,0.8116715754961543,0.07647685047246443,0.18832842450384568,0.6684392546317824,0.9150062118417078,0.039943818018885184,0
2009-06-30,919.320007,930.01001,912.859985,4627570000,4627570000.0,26.35,252.0,-0.008567351480301078,0.18908537118305646,0.1809279979513828,-1.665556666526699,-1.7096561282338432,-1.7532020430395352,22.33565309577938,-0.1860492890082952,-0.028418653760570622,-0.027275472846806537,0.002500846530861002,0.9727861165662116,3.2714682749873716,0.033678972404565764,0.8116715754961543,0.07647685047246443,0.18832842450384568,0.6684392546317824,0.9150062118417078,0.039943818018885184,0
